"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT03"
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2003-10-21",,,,"83","93","77",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2003-10-22",,,,"82","96","72",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2003-10-23",,,,"81","98","73",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2003-10-24",,,,"81","94","75",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2003-10-25",,,,"82","90","75",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2004-12-05",,,,"59","65","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2004-12-06",,,,"56","64","53",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2004-12-30",,,,"50","56","47",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-09-22",,,,"74","90","66",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-09-23",,,,"67","77","60",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-09-24",,,,"59","69","52",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-09-25",,,,"66","77","55",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-09-26",,,,"69","79","63",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-09-27",,,,"71","84","59",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-09-28",,,,"81","91","72",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-09-29",,,,"85","97","78",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-09-30",,,,"80","92","72",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-01",,,,"74","87","67",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-02",,,,"66","73","60",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-03",,,,"66","76","58",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-04",,,,"68","77","56",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-05",,,,"73","81","66",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-06",,,,"77","87","69",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-07",,,,"74","88","64",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-08",,,,"58","68","50",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-09",,,,"65","75","54",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-10",,,,"71","82","66",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-11",,,,"66","75","59",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-12",,,,"68","76","58",,
"USR0000CWIL","WILEY RIDGE CALIFORNIA, CA US","2005-10-13",,,,"79","91","69",,
