"","year","prcp"
"1",2020,0.0500000007450581
"2",2021,3.5
"3",2022,1.125
"4",2023,29.8250007629395
"5",2024,3.5
"6",2025,3
"7",2026,1.52499997615814
"8",2027,1.20000004768372
"9",2028,2.375
"10",2029,0.275000005960464
"11",2030,4.15000009536743
"12",2031,4.17500019073486
"13",2032,1.67499995231628
"14",2033,0.0750000029802322
"15",2034,3.32500004768372
"16",2035,3.27500009536743
"17",2036,3
"18",2037,11.3500003814697
"19",2038,0
"20",2039,21.6499996185303
"21",2040,1.54999995231628
"22",2041,0.200000002980232
"23",2042,0
"24",2043,0.5
"25",2044,3.45000004768372
"26",2045,11.0500001907349
"27",2046,0
"28",2047,0
"29",2048,0.25
"30",2049,119.074996948242
