"","year","tmin"
"1",2020,-2.03520011901855
"2",2021,-0.0261000003665686
"3",2022,-0.0745000019669533
"4",2023,-0.227099999785423
"5",2024,-2.11190009117126
"6",2025,-1.79030001163483
"7",2026,-1.37940001487732
"8",2027,-2.8371000289917
"9",2028,-0.973200023174286
"10",2029,-2.37770009040833
"11",2030,-2.03029990196228
"12",2031,1.3309999704361
"13",2032,-1.38100004196167
"14",2033,0.769699990749359
"15",2034,0.496100008487701
"16",2035,1.11520004272461
"17",2036,0.241600006818771
"18",2037,-0.511600017547607
"19",2038,-3.38450002670288
"20",2039,-3.49029994010925
"21",2040,-2.48769998550415
"22",2041,-2.54649996757507
"23",2042,-2.00099992752075
"24",2043,-0.783200025558472
"25",2044,-1.47940003871918
"26",2045,-6.45809984207153
"27",2046,-1.24319994449615
"28",2047,-0.13060000538826
"29",2048,-3.61870002746582
"30",2049,-3.21840000152588
